"productId","title","collection","adminUrl","upload","megabytes"
"352407156","São Miguel Vintage | Moletom Canguru","RELIQUIA","https://nimbus40.lojavirtualnuvem.com.br/admin/products/352407156","C:\Users\rober\Nimbus\nuvemshop\assets\product-lifestyle\2026-07-16\uploads\352407156-vitrine-nimbus.jpg","0.59"
"352407182","São Miguel Vintage | Camiseta Oversized Premium","RELIQUIA","https://nimbus40.lojavirtualnuvem.com.br/admin/products/352407182","C:\Users\rober\Nimbus\nuvemshop\assets\product-lifestyle\2026-07-16\uploads\352407182-vitrine-nimbus.jpg","0.73"
"352407196","São Miguel Vintage | Camiseta Premium","RELIQUIA","https://nimbus40.lojavirtualnuvem.com.br/admin/products/352407196","C:\Users\rober\Nimbus\nuvemshop\assets\product-lifestyle\2026-07-16\uploads\352407196-vitrine-nimbus.jpg","0.8"
"352618837","São Jorge Vintage | Blusão Moletom","RELIQUIA","https://nimbus40.lojavirtualnuvem.com.br/admin/products/352618837","C:\Users\rober\Nimbus\nuvemshop\assets\product-lifestyle\2026-07-16\uploads\352618837-vitrine-nimbus.jpg","0.82"
"352618878","São Jorge Vintage | Moletom Canguru","RELIQUIA","https://nimbus40.lojavirtualnuvem.com.br/admin/products/352618878","C:\Users\rober\Nimbus\nuvemshop\assets\product-lifestyle\2026-07-16\uploads\352618878-vitrine-nimbus.jpg","0.68"
"352618903","São Jorge Vintage | Camiseta Oversized Premium","RELIQUIA","https://nimbus40.lojavirtualnuvem.com.br/admin/products/352618903","C:\Users\rober\Nimbus\nuvemshop\assets\product-lifestyle\2026-07-16\uploads\352618903-vitrine-nimbus.jpg","0.67"
"352618935","São Jorge Vintage | Camiseta Premium","RELIQUIA","https://nimbus40.lojavirtualnuvem.com.br/admin/products/352618935","C:\Users\rober\Nimbus\nuvemshop\assets\product-lifestyle\2026-07-16\uploads\352618935-vitrine-nimbus.jpg","0.79"
"352619175","Salmo 19 | Moletom Canguru","RELIQUIA","https://nimbus40.lojavirtualnuvem.com.br/admin/products/352619175","C:\Users\rober\Nimbus\nuvemshop\assets\product-lifestyle\2026-07-16\uploads\352619175-vitrine-nimbus.jpg","0.65"
"352702020","Salmo 19 | Camiseta Premium","RELIQUIA","https://nimbus40.lojavirtualnuvem.com.br/admin/products/352702020","C:\Users\rober\Nimbus\nuvemshop\assets\product-lifestyle\2026-07-16\uploads\352702020-vitrine-nimbus.jpg","0.9"
"352702753","Monograma NIMBUS | Camiseta Oversized Premium","RELIQUIA","https://nimbus40.lojavirtualnuvem.com.br/admin/products/352702753","C:\Users\rober\Nimbus\nuvemshop\assets\product-lifestyle\2026-07-16\uploads\352702753-vitrine-nimbus.jpg","0.76"
